station,x,y
용마산,963452.4,1952719.9
용문,1008331.1,1942538.7
용산,952770.4,1948000.9
우장산,941377.7,1950137.2
운길산,983210.9,1950620.9
운동장송담대,974192.9,1915496.7
운서,911034.2,1944208.5
운연,934507.2,1938087.2
운정,935414.6,1969794.7
원당,942031.2,1961706.2
원덕,1004207.7,1941050.2
원인재,928106.7,1935081.3
원흥,944813.8,1961392.2
월계,961076,1959439.4
월곡,959500.1,1955877
월곶,932946.9,1932820.2
월드컵경기장,946921.6,1952513.2
월롱,937702.7,1977575.6
을지로3가,955194.4,1951999.7
을지로4가,955653.6,1952037.5
을지로입구,954287.3,1951979.9
응봉,958919.8,1950225
응암,948490.5,1955712.9
의왕,951099.9,1924770
의정부,959987.3,1971023.6
의정부시청,959018.2,1971173.2
의정부중앙,960324.1,1971656.5
이대,951047.3,1950972.1
이매,967097.7,1933024.9
이수,954205.6,1943028.5
이천,994868.5,1918402.5
이촌,953491.8,1947116.4
이태원,955348.7,1948475.6
인덕원,953681.4,1933767.6
인천,921912.9,1942270.7
인천가좌,927087.8,1943697.8
인천국제공항,907317.4,1939216.4
인천논현,931177.2,1933789.1
인천대공원,933875.9,1939084
인천대입구,923822.9,1932231.9
인천시청,929437,1940116.3
인천터미널,929169.4,1938369.6
인하대,924795.5,1939131.2
일산,935640.9,1964966.5
일원,963266.9,1942835.7
임학,932777,1949851.6
작전,931311.2,1948175.5
잠실,964875.9,1946162.1
잠실나루,964991.4,1946870.3
잠원,956781.4,1946042.3
장승배기,950359.1,1945164.5
장암,960609.9,1966840.1
장지,966988.3,1942125.2
장한평,961584.8,1951426.1
전대에버랜드,975166,1920790.3
정발산,935908.1,1962475.4
정부과천청사,954898.8,1936532.7
정왕,932958.5,1928351.5
정자,965294.7,1929817.5
제기동,958914.9,1953303.9
제물포,925448,1941176.2
종각,954366.5,1952441.5
종로3가,955127,1952538.3
종로5가,956016.4,1952508
종합운동장,962303.3,1945829.8
주안,927545.2,1940976.2
주안국가산단,927612.4,1941971.7
주엽,934847.2,1963661.9
죽전,965216.9,1925082.7
중계,961558.2,1960690.1
중곡,963255.5,1951844.6
중동,934938.1,1943312.1
중랑,962566.6,1955140.6
중앙,941386.2,1924319.6
중화,962868.9,1955982.4
증미,943508.4,1951184.3
증산,947887.1,1954002.4
지석,967779.6,1919036.2
지식정보단지,924385.5,1931261.1
지제,961783.8,1891290.9
지축,948250.2,1961127.5
지행,960949.8,1988196.7
직산,968241.5,1874835.8
진위,961122.7,1901403.8
창동,960068.2,1961599.8
창신,957194.9,1953514.2
천마산,981072.3,1962187.4
천안,968472.5,1868121.4
천왕,941441,1943384.1
천호,966828.3,1948822.2
철산,944130.5,1942068.6
청계산입구,960604.4,1938901.6
청구,957047.1,1951329.4
청담,960568.7,1946778.6
청라국제도시,922699.9,1951065.8
청량리,959847,1953530.4
청명,962668.3,1917933.4
청평,993540.5,1970660
초당,969804.1,1918047.1
초월,982269.2,1930506.4
초지,938500.5,1924860.4
춘의,936959.9,1945170.6
춘천,1019039.7,1987177.8
충무로,955314.7,1951435.2
충정로,952607.9,1951432.8
캠퍼스타운,925834.1,1932473.5
탄현,934855.5,1966312.9
탑석,963778.3,1970509.8
태릉입구,962440.4,1957617.2
태평,967061.2,1937938.7
테크노파크,925313.1,1931800.1
퇴계원,968540.9,1961031
파주,937713.8,1979786
판교,965580.4,1932915.1
팔당,977365.7,1949830.1
평내호평,977486.1,1961561.1
평촌,952531.4,1932928.9
평택,963084.2,1888134.2
풍산,937061.1,1963880.9
하계,961883.4,1959753.8
학동,958591.8,1946204.6
학여울,962121.4,1944243.1
한강진,955983.7,1949030.7
한남,956573.5,1947870.4
한대앞,942737.3,1923623.1
한성대입구,956388.8,1954450.2
한양대,959687.2,1950791
한티,960471.8,1944199.3
합정,948224.5,1950170.5
행당,958480.5,1951023
행신,941231.1,1957190.3
혜화,956011.5,1953711.1
호구포,929995.6,1933888.2
홍대입구,949096.9,1950993.7
홍제,950932.5,1954514.5
화곡,941734.9,1949343.3
화랑대,963300.6,1957951.9
화서,954759.5,1920674.9
화전,944281.4,1956094.6
화정,941115.4,1959673.5
회기,960991.9,1954595
회룡,960107.1,1969475.3
회현,953914.9,1951143.8
효자,962749.4,1972783.4
효창공원앞,952424.4,1949031.8
흑석,952581,1945671.9
흥선,959220.9,1971617.3
경의_양평,999286,1943723
