code,p17the,p17hong,p17kuk,p17yoo,p17jung,p17valid,r17the,r17hong,r17kuk,r17yoo,r17jung,win17r,winner17,wingap17,sec17r,sec17,third17r,third17,forth17r,forth17,last17r,last17,r17han,p16the,p16han,p16kuk,p16jung,p16valid,r16the,r16han,r16kuk,r16jung,d_the,d_han,d_kuk,d_jung
23060,129246,61578,74402,19155,21600,307417,0.420425676,0.200307725,0.24202305,0.062309501,0.070262868,0.420425676,1,0.178402626,0.24202305,3,0.200307725,2,0.070262868,5,0.062309501,4,0.262617227,57059,69631,70314,17006,233588,0.26537296,0.32384347,0.327020002,0.079092388,0.155052716,-0.061226244,-0.084996952,-0.00882952
23070,78136,34312,43644,11775,13767,182553,0.428018165,0.187956374,0.239075775,0.064501816,0.075413715,0.428018165,1,0.188942389,0.239075775,3,0.187956374,2,0.075413715,5,0.064501816,4,0.25245819,39499,41554,39101,9850,142950,0.30229959,0.31802722,0.299253558,0.075385477,0.125718574,-0.06556903,-0.060177783,2.82E-05
23080,116767,51598,64928,18404,19656,272559,0.428409996,0.189309471,0.238216313,0.067522995,0.072116496,0.428409996,1,0.190193683,0.238216313,3,0.189309471,2,0.072116496,5,0.067522995,4,0.256832466,60785,70890,59930,15852,226440,0.291704029,0.340197395,0.287600929,0.076072917,0.136705966,-0.083364929,-0.049384616,-0.003956421
23310,9753,15586,8252,1788,1775,37463,0.260336866,0.416037157,0.220270667,0.047727091,0.047380082,0.416037157,2,0.155700291,0.260336866,1,0.220270667,3,0.047727091,4,0.047380082,5,0.463764247,3580,16460,5074,1510,32271,0.133356057,0.61313986,0.189007998,0.056247946,0.126980809,-0.149375613,0.031262669,-0.008867864
23320,2741,4970,2352,608,403,11207,0.244579281,0.443472829,0.209868832,0.054251807,0.035959668,0.443472829,2,0.198893549,0.244579281,1,0.209868832,3,0.054251807,4,0.035959668,5,0.497724636,1045,5785,1420,330,10319,0.120349461,0.666240796,0.163537067,0.038005093,0.12422982,-0.16851616,0.046331765,-0.002045425
24010,30279,1121,20378,1068,2048,55115,0.549378572,0.020339291,0.369736007,0.019377665,0.037158668,0.549378572,1,0.179642566,0.369736007,3,0.037158668,5,0.020339291,2,0.019377665,4,0.039716955,12026,1789,26472,2881,47954,0.277468916,0.041276558,0.610773087,0.06647164,0.271909656,-0.001559603,-0.241037081,-0.029312972
24020,105732,2686,55014,3628,7460,175271,0.603248683,0.01532484,0.313879649,0.020699374,0.04256266,0.603248683,1,0.289369034,0.313879649,3,0.04256266,5,0.020699374,4,0.01532484,2,0.036024214,37046,3738,72650,10846,135948,0.296807737,0.02994837,0.582062357,0.086896742,0.306440947,0.006075844,-0.268182708,-0.044334082
24030,71086,2153,41681,2324,4695,122502,0.580284404,0.017575223,0.340247506,0.018971119,0.038325905,0.580284404,1,0.240036897,0.340247506,3,0.038325905,5,0.018971119,4,0.017575223,2,0.036546342,25492,2728,54619,6322,99374,0.284595762,0.030455721,0.609773103,0.07057957,0.295688641,0.006090621,-0.269525597,-0.032253666
24040,152070,3608,78668,4974,10773,251077,0.60567077,0.014370094,0.313322208,0.019810656,0.042907156,0.60567077,1,0.292348562,0.313322208,3,0.042907156,5,0.019810656,4,0.014370094,2,0.034180749,52943,4871,108701,12469,196812,0.294638125,0.027108065,0.604942275,0.069392418,0.311032645,0.007072684,-0.291620067,-0.026485262
24050,138873,3028,58043,4408,10536,216004,0.64291865,0.014018259,0.268712616,0.020407029,0.048776875,0.64291865,1,0.374206033,0.268712616,3,0.048776875,5,0.020407029,4,0.014018259,2,0.034425288,49016,4283,81290,12990,163204,0.330417982,0.028871801,0.547977757,0.087565888,0.312500668,0.005553487,-0.279265141,-0.038789014
25010,49392,30537,31058,6468,7889,125981,0.39205912,0.242393694,0.246529239,0.051341075,0.062620554,0.39205912,1,0.145529881,0.246529239,3,0.242393694,2,0.062620554,5,0.051341075,4,0.29373477,26354,36031,25868,5145,101973,0.280742048,0.383828517,0.275564821,0.054808296,0.111317072,-0.090093747,-0.029035583,0.007812258
