code,p17the,p17hong,p17kuk,p17yoo,p17jung,p17valid,r17the,r17hong,r17kuk,r17yoo,r17jung,win17r,winner17,wingap17,sec17r,sec17,third17r,third17,forth17r,forth17,last17r,last17
31070,91329,58061,57413,16837,17548,242563,0.376516616,0.239364619,0.236693148,0.069412895,0.072344092,0.376516616,1,0.137151998,0.239364619,2,0.236693148,3,0.072344092,5,0.069412895,4
31080,17053,14843,11625,2769,3183,49776,0.342594825,0.298195918,0.233546287,0.055629219,0.06394648,0.342594825,1,0.044398907,0.298195918,2,0.233546287,3,0.06394648,5,0.055629219,4
31091,86381,36611,49275,12472,14436,200104,0.431680526,0.182959861,0.246246952,0.06232759,0.072142486,0.431680526,1,0.185433575,0.246246952,3,0.182959861,2,0.072142486,5,0.06232759,4
31092,71206,31069,40971,10499,11505,166007,0.42893372,0.187154759,0.246802846,0.063244321,0.069304306,0.42893372,1,0.182130874,0.246802846,3,0.187154759,2,0.069304306,5,0.063244321,4
31101,103515,50185,54546,15681,26046,251022,0.412374214,0.199922716,0.217295695,0.062468628,0.10375983,0.412374214,1,0.195078519,0.217295695,3,0.199922716,2,0.10375983,5,0.062468628,4
31103,69744,31484,35968,12039,12894,162703,0.428658353,0.193505959,0.221065377,0.073993719,0.079248692,0.428658353,1,0.207592976,0.221065377,3,0.193505959,2,0.079248692,5,0.073993719,4
31104,74066,31914,36624,12137,12448,167743,0.441544506,0.190255331,0.218333999,0.072354733,0.07420876,0.441544506,1,0.223210507,0.218333999,3,0.190255331,2,0.07420876,5,0.072354733,4
31110,13535,8086,7432,2838,2271,34306,0.394537399,0.23570221,0.216638489,0.082726054,0.066198333,0.394537399,1,0.158835189,0.23570221,2,0.216638489,3,0.082726054,4,0.066198333,5
31120,44816,24104,25706,7188,7255,109500,0.409278539,0.220127854,0.234757991,0.065643836,0.066255708,0.409278539,1,0.174520548,0.234757991,3,0.220127854,2,0.066255708,5,0.065643836,4
31130,143924,79083,82465,22206,22660,351765,0.409148153,0.224817705,0.234432078,0.063127372,0.064418006,0.409148153,1,0.174716075,0.234432078,3,0.224817705,2,0.064418006,5,0.063127372,4
31140,45426,19950,24209,6805,7258,104058,0.436545004,0.191720002,0.2326491,0.065396221,0.069749563,0.436545004,1,0.203895904,0.2326491,3,0.191720002,2,0.069749563,5,0.065396221,4
31150,91611,39788,52214,12943,15073,212721,0.430662699,0.187043122,0.245457665,0.060844957,0.070858072,0.430662699,1,0.185205034,0.245457665,3,0.187043122,2,0.070858072,5,0.060844957,4
31160,72636,32173,37566,11412,10954,165433,0.439065966,0.194477523,0.227076823,0.068982609,0.066214117,0.439065966,1,0.211989144,0.227076823,3,0.194477523,2,0.068982609,4,0.066214117,5
31170,37020,19132,20668,6385,5718,89260,0.414743446,0.21434013,0.231548286,0.071532601,0.064060049,0.414743446,1,0.18319516,0.231548286,3,0.21434013,2,0.071532601,4,0.064060049,5
31180,48970,28718,27247,8334,6842,120553,0.406211376,0.238218875,0.226016773,0.069131419,0.05675512,0.406211376,1,0.167992501,0.238218875,2,0.226016773,3,0.069131419,4,0.05675512,5
31191,43219,30242,28383,7323,7826,117577,0.367580394,0.257210169,0.241399253,0.062282589,0.066560637,0.367580394,1,0.110370225,0.257210169,2,0.241399253,3,0.066560637,5,0.062282589,4
31192,98906,48098,48194,16252,13321,225560,0.438490867,0.213238163,0.21366377,0.072051782,0.059057457,0.438490867,1,0.224827097,0.21366377,3,0.213238163,2,0.072051782,4,0.059057457,5
31193,81119,45690,40968,16011,10722,195124,0.41573051,0.234158791,0.209958795,0.082055513,0.054949673,0.41573051,1,0.181571718,0.234158791,2,0.209958795,3,0.082055513,4,0.054949673,5
